id:ID,:LABEL,title,name,description,resource_type,summary,source_program,version,date_published,file_type,concept_category,definition,competency_category,level,scenario_type,operational_context,role_description,expected_minimum_experience,program_type,manufacturer,model_number,instrument_type,detection_principle
res_hpge,Resource,"Rapid HPGe Well Detector Gamma Bioassay of 137Cs, 60Co, and 192Ir Method","Rapid HPGe Well Detector Gamma Bioassay of 137Cs, 60Co, and 192Ir Method",Rapid HPGe well-detector urine gamma bioassay method including validation and public health use.,Method,"Rapid HPGe gamma bioassay of urine for 137Cs, 60Co, and 192Ir.",HPGe,,,pdf,,,,,,,,,,,,,
res_air,Resource,Radiological Laboratory Sample Analysis Guide for Incidents of National Significance – Radionuclides in Air,Radiological Laboratory Sample Analysis Guide for Incidents of National Significance – Radionuclides in Air,EPA analytical guide for air particulate radionuclide assessment during incidents of national significance.,Guide,"Air particulate radionuclide analytical guide defining scenarios, ADLs, and MQOs.",EPA,,,pdf,,,,,,,,,,,,,
prog_icln,NetworkProgram,Integrated Consortium of Laboratory Networks (ICLN),ICLN,Federal consortium coordinating national lab response to CBRN threats.,,,EPA,,,,,,,,,,,,Network,,,,
prog_erln,NetworkProgram,Environmental Response Laboratory Network (ERLN),ERLN,EPA-led laboratory network providing environmental radioanalytical surge capacity.,,,EPA,,,,,,,,,,,,Network,,,,
inst_hpge_well,Instrument,HPGe Well Detector System,HPGe Well Detector System,High-purity germanium well detector optimized for small-volume gamma spectroscopy.,,,HPGe,,,,Instrumentation,"High-purity germanium well-geometry detector design including well geometry, summing, and efficiency.",,,,,,,,,HPGe,High-purity germanium semiconductor gamma detection,
,,,,,,,,,,,,,,,,,,,,,,,
scn_air_1,Scenario,Radioanalytical Scenario 1 – High-Flow Air Sampling (Early Phase INS),Scenario 1 – High-Flow,High-flow air filters and iodine cartridges analyzed during the early phase using ADLs to classify samples.,,,EPA,,,,,,,LabSurge,High-flow sampling near incident site; rapid ADL triage.,,,,,,,,
scn_air_2,Scenario,Radioanalytical Scenario 2 – Low-Flow Air Sampling (Intermediate and Recovery Phases),Scenario 2 – Low-Flow,Low-flow air sampling for intermediate and recovery phases using 500-mrem and risk-based ADLs.,,,EPA,,,,,,,LabSurge,Low-activity long-term samples requiring low detection limits.,,,,,,,,
scn_air_3,Scenario,Radioanalytical Scenario 3 – Known Radionuclides in Air Particulate Samples,Scenario 3 – Known Radionuclides,Streamlined workflow for known radionuclide mixtures in particulate air samples.,,,EPA,,,,,,,LabSurge,Radionuclide-specific pathways after contamination characterization.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
c_cdg_levels,Concept,,Clinical Decision Guide (CDG) Levels,Dose-based activity concentration thresholds (NCRP 161) used for medical decision support.,,,,,,Dose Assessment,Dose-based activity concentration thresholds (NCRP 161) used to determine need for medical countermeasures.,,,,,,,,,,,,
c_pag_air,Concept,,Protective Action Guides (PAGs) for Airborne Radionuclides,Dose-based thresholds triggering public health protective actions.,,,,,,Dose Assessment,PAGs defining dose criteria for airborne radionuclide intervention.,,,,,,,,,,,,
c_adls_air,Concept,,Analytical Decision Levels (ADLs) for Air Particulate Samples,Derived activity thresholds linked to PAGs and long-term risk.,,,,,,Dose Assessment,ADLs for air particulate analysis.,,,,,,,,,,,,
